corp_code,recddate,filename'
106553,2014-02-13 00:00:00.000,Bajaj_Finance_Ltd_POSTAL BALLOT LOAN 130214.pdf'
555876,2014-02-13 00:00:00.000,Bharti_Airtel_Ltd1_OTHERS 130214.pdf'
103168,1997-01-20 00:00:00.000,Motherson-EGM Notice 20.1.97.pdf'
100329,2009-07-28 00:00:00.000,Motherson-EGM Notice 20.1.97.pdf'
100682,2014-03-14 00:00:00.000,Birla_Corporation_Ltd_MERGER 140314.pdf'
556373,2014-03-11 00:00:00.000,eClerx_Services_Ltd_110314.pdf'
101314,2014-03-07 00:00:00.000,EID_Parry_India_Ltd_070314.pdf'
101399,2014-03-03 00:00:00.000,Escorts_Ltd_030314.pdf'
100465,2014-03-12 00:00:00.000,Force_Motors_Ltd_030314.pdf'
556956,2014-03-03 00:00:00.000,Coal_India_Ltd_OPERATIONAL DATA 030314.pdf'
101052,2014-03-03 00:00:00.000,CRISIL_Ltd_POSTAL BALLOT CAPITAL RAISING 030314.pdf'
555934,2014-03-03 00:00:00.000,Jindal_Stainless_Ltd_PREF ISSUE 030314.pdf'
557128,2014-02-13 00:00:00.000,L&T_Finance_Holdings_Ltd1_OFS 130214.pdf'
105628,2014-03-10 00:00:00.000,Zee_Entertainment_Enter_BONUS PREF SHARES 100314.pdf'
102544,1994-07-09 00:00:00.000,Whirlpool-Preferential allotment to collabrator_09-07-1994.pdf'
556271,2014-03-07 00:00:00.000,DLF_Ltd_POSTAL BALLOT 070314.pdf'
555832,2014-03-05 00:00:00.000,Godrej_Consumer_Products_Ltd_POSTAL BALLOT UPDATE 050314.pdf'
556684,2014-03-11 00:00:00.000,Godrej_Properties_Ltd1_POSTAL BALLOT 110314.pdf'
107288,2014-03-12 00:00:00.000,HDFC_Bank_Ltd_DIRECTORS APPOINTMENT 120314.pdf'
